Data,Label
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
mama uncle ku na bhaija ma khud a jao ga,N
deye gaye number par rabta karke ainaam jete,S
kia kaarna phir aga,N
Baba kyaa krrhey haiin?,N
Aaj mosam kesaa haii?,N
aoa uncle ma apke cousin bat kr rahai hu mujhai paisa chaihiya,S
sir aapka total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
mama uncle ku na bhaja ma khud a jao ga,N
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ma apke daraz ke packegae kla rah hu please location bata da,N
kia kaarna phir aga,N
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
aapkaa account haick ho gaya haii sahi kaarni kei liye OTP batayin,S
Baba kyaa krrhey hain?,N
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
hn yaar kasa ha,N
Aaj mosam kesaa hi?,N
Ainaam jetne kei liye OTP hme bataye,S
Ap ka lucky draw nikla hai aapna account number da da for transfer.,S
Mam ma aapke bank sa baat kr raha hu please aapna bank number bata da,S
sir apka total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
kia khila ra phir,N
sir ap ki lottery nikla hai apna contact number shaire kr da,S
apkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
aapke account hack ho gaya hai sahi kerni kei liye OTP batayin,S
meri beti ki tabiyat khrab h please paisa bhj da,S
Aaap kyaa krrhi hin?,N
hn yaar kasa ha,N
maam please aapna bank account number da da,S
apka account hck ho gaya hi sahi karni kei liye OTP batayin,S
Kyaa Sameed ke result agaya?,N
maam please apna bank account number da da,S
ghr wala theek h,N
Kyaa aap theek hain?,N
ji achai tu aapkaa naam hai card par chaila otp plese bhaij da,S
Hello ma kaasi hu ap,N
sir aap ki lottery nikla h aapna contact number shre kr da,S
maam plz aapna bank account number da da,S
mama uncle ku na bhaija ma khud a jao ga,N
Aap kyaa krrhi hain?,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
deye gaye number par rabta kerke ainaam jete,S
Ap ka bank account freeze ho gaya,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Sameed kesaa haii?,N
Ap ke lucky draw nikla h aapna account number da da for transfer.,S
mera bank ka masla hua wa ap apna account number bhaij sakta hu please,S
Kyaa Sameed ke result agaya?,N
ji mam aap ke order kidr lana h,N
Mam ma aapkaa bank sa baat kr rahai hu please aapna bank number bata da,S
kia khila ra phir,N
kia khila ra phir,N
kia chail rahai hai,N
kia khila ra phir,N
Aaj khaney mai kyaa banaya?,N
mera bank kaa masla hua wa aap aapna account number bhj sakta hu plz,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Ap ke lucky draw nikla h apna account number da da for transfer.,S
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
kia khila ra phir,N
meri beti ki tabiyat khrab h plese paisa bhj da,S
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ji mam aap ka order kidr lana h,N
Aaj mosam kesaa hi?,N
apka account hack ho gaya hai sahi karni kei liye OTP batayin,S
deye gaye number par rabta kerke ainaam jete,S
Kyaa aaap theek hin?,N
sir ap ki lottery nikla ha apna contact number share kr da,S
mera bank ke masla hua wa ap apna account number bhaij sakta hu plese,S
Aaj khaney mai kyaa banaya?,N
Mam ma aapkaa bank sa baat kr rahai hu plz aapna bank number bata da,S
dada ki tabiyat kaasi h ab,N
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Sameed kesaa hai?,N
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
dada ki tabiyat kesi h ab,N
ji ach tu aapke naam h card par chla otp please bhj da,S
apka account haick ho gaya haii sahi karni kei liye OTP batayin,S
kia chl rah h,N
Aaj khaney mai kyaa banaya?,N
sir aapkaa total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
AJ KAL KAHA HUTA HA,N
ji ach tu aapke naam h card par chla OTP plese bhj da,S
Ap ke bank account freeze ho gaya,S
Mam ma aapka bank sa baat kr rahai hu plese aapna bank number bata da,S
Baba kyaa krrhey hin?,N
Baba kidher haiin?,N
Baba kyaa krrhey hain?,N
sir apkaa total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
aoa uncle ma aapka cousin bat kr rah hu mujh paisa chhiya,S
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
Kyaa aaap theek hin?,N
Mam ma aapka bank sa baat kr rahai hu plz aapna bank number bata da,S
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
Baba kidher hin?,N
Ainaam jetne kei liye OTP hame bataye,S
Hello ma kaasi hu ap,N
AJ KAL KAHA HUTA HA,N
Ap kaa bank account freeze ho gaya,S
hr roz kei 100 ruppe jetne kei liye OTP bataye,S
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
Kyaa aaap theek hin?,N
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
ji mam aap ke order kidr lana h,N
Ap ka bank account freeze ho gaya,S
Aoa ma nadra sa baat kr rahai hu mujhai ap kaa id card number ki zarurt hai,S
ji achai tu aapkaa naam hai card par chaila otp plese bhaij da,S
aoa uncle ma aapka cousin bat kr raha hu mujha paisa chahiya,S
Hello ma kesi hu ap,N
maam plz aapna bank account number da da,S
Mam ma apka bank sa baat kr rah hu plz apna bank number bata da,S
sir aap ki lottery nikla ha aapna contact number share kr da,S
Aaj mosam kesaa hi?,N
mama uncle ku na bhaja ma khud a jao ga,N
Kyaa aaap theek hain?,N
Ap ke lucky draw nikla h apna account number da da for transfer.,S
Kyaa aap theek haiin?,N
dada ki tabiyat kasi h ab,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
Ainaam jetne kei liye OTP haime bataye,S
sir apkaa total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
ji mam ap ke order kidr lana h,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
hn yaar kesa hai,N
aapkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
sir apke total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
AJ KAL KAHA HUTA HA,N
aoa uncle ma apke cousin bat kr rah hu mujh paisa chhiya,S
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
maam please apna bank account number da da,S
ma hospital ma hu mujh paisu ki zarurat h,S
Ap ke lucky draw nikla hai apna account number da da for transfer.,S
sir apka total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
apka account hack ho gaya hai sahi karni kei liye OTP batayin,S
ghair wala theek hai,N
Sameed kesaa haii?,N
sir ap ki lottery nikla h apna contact number shre kr da,S
AJ KAL KAHA HUTA HA,N
ma hospital ma hu mujh paisu ki zarurat h,S
kia karna phir aga,N
sir ap ki lottery nikla ha apna contact number share kr da,S
ma aapke daraz ke packegae kla rah hu plz location bata da,N
mama uncle ku na bhja ma khud a jao ga,N
kia chail rahai hai,N
Baba kyaa krrhey haiin?,N
AJ KAL KAHA HUTA HA,N
Kyaa Sameed kaa result agaya?,N
apke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
deye gaye number par rabta kaarke ainaam jete,S
Aaj khaianey mai kyaa banaya?,N
hn yaar kesa h,N
ghr wala theek h,N
Aaj mosam kesaa hi?,N
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
hn yaar kaasa ha,N
sir ap ki lottery nikla h apna contact number shre kr da,S
meri beti ki tabiyat khrab h plz paisa bhj da,S
Baba kyaa krrhey haiin?,N
Ainaam jetne kei liye OTP haime bataye,S
ji mam ap kaa order kidr lana ha,N
kia chal raha ha,N
ji acha tu apka naam ha card par chala OTP please bhaj da,S
deye gaye number par rabta kaarke ainaam jete,S
ma apkaa daraz kaa packaagae kla raha hu plz location bata da,N
Ap kaa lucky draw nikla hai aapna account number da da for transfer.,S
Kyaa Sameed ka result agaya?,N
aapkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
Kyaa Sameed ke result agaya?,N
mera bank ke masla hua wa ap apna account number bhaj sakta hu please,S
Baba kyaa krrhey haiin?,N
Mam ma apkaa bank sa baat kr rahai hu please apna bank number bata da,S
dada ki tabiyat kasi ha ab,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
Ainaam jetne kei liye OTP hame bataye,S
meri beti ki tabiyat khrab h plese paisa bhj da,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
sir ap ki lottery nikla ha apna contact number share kr da,S
ji mam ap ke order kidr lana ha,N
mera bank kaa masla hua wa ap apna account number bhaij sakta hu plz,S
ma hospital ma hu mujhai paisu ki zarurat hai,S
dada ki tabiyat kesi hai ab,N
Baba kyaa krrhey haiin?,N
kia kerna phir aga,N
Ap kaa bank account freeze ho gaya,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
aapka account haick ho gaya haii sahi karni kei liye OTP batayin,S
deye gaye number par rabta kerke ainaam jete,S
Mam ma apkaa bank sa baat kr rah hu plese apna bank number bata da,S
Mam ma apke bank sa baat kr rah hu plz apna bank number bata da,S
hn yaar kasa h,N
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
hn yaar kesa h,N
mera bank kaa masla hua wa ap apna account number bhaj sakta hu plz,S
mama uncle ku na bhaja ma khud a jao ga,N
Kyaa Sameed ke result agaya?,N
Kyaa Sameed ka result agaya?,N
mama uncle ku na bhja ma khud a jao ga,N
sir aapkaa total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Baba kidher hin?,N
ji mam ap ke order kidr lana ha,N
ji acha tu aapke naam ha card par chala OTP please bhaj da,S
Aaj mosam kesaa hi?,N
Ap kaa bank account freeze ho gaya,S
apke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
ji mam aap ke order kidr lana hai,N
meri beti ki tabiyat khrab h plz paisa bhj da,S
Ap ka bank account freeze ho gaya,S
sir ap ki lottery nikla h apna contact number shre kr da,S
sir aapka total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
ma hospital ma hu mujhai paisu ki zarurat hai,S
Mam ma apkaa bank sa baat kr rahai hu plese apna bank number bata da,S
kia khila ra phir,N
Ainaam jetne kei liye OTP hme bataye,S
Hello ma kaasi hu aap,N
aoa uncle ma apkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
aoa uncle ma apkaa cousin bat kr rah hu mujh paisa chhiya,S
ji acha tu apka naam ha card par chala OTP plz bhaj da,S
ma aapka daraz ka packagae kla rahai hu plese location bata da,N
Baba kyaa krrhey hin?,N
Ainaam jetne kei liye OTP hame bataye,S
AJ KAL KAHA HUTA HA,N
Mam ma apke bank sa baat kr rahai hu please apna bank number bata da,S
Kyaa aap theek hain?,N
Hello ma kaasi hu aap,N
dada ki tabiyat kesi h ab,N
ma apkaa daraz kaa packaagae kla rah hu plese location bata da,N
sir aap ki lottery nikla hai aapna contact number shaire kr da,S
Hello ma kasi hu aap,N
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
Hello ma kesi hu aap,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
Sameed kesaa hai?,N
Ainaam jetne kei liye OTP hme bataye,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
kia khila ra phir,N
Kyaa aap theek haiin?,N
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
Baba kyaa krrhey haiin?,N
ghar wala theek ha,N
mera bank ka masla hua wa aap aapna account number bhj sakta hu plese,S
ji mam ap kaa order kidr lana hai,N
ma hospital ma hu mujha paisu ki zarurat ha,S
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
Aaj mosam kesaa haii?,N
ji achai tu apka naam hai card par chaila OTP plese bhaij da,S
aoa uncle ma apkaa cousin bat kr raha hu mujha paisa chahiya,S
mera bank ke masla hua wa ap apna account number bhaij sakta hu plese,S
sir aap ki lottery nikla h aapna contact number shre kr da,S
kia khila ra phir,N
har roz kei 100 ruppe jetne kei liye OTP bataye,S
Kyaa Sameed ke result agaya?,N
ji ach tu aapkaa naam h card par chla OTP please bhj da,S
mama uncle ku na bhaija ma khud a jao ga,N
ji acha tu aapka naam ha card par chala OTP plese bhaj da,S
Ap ke bank account freeze ho gaya,S
aoa uncle ma apka cousin bat kr rahai hu mujhai paisa chaihiya,S
Kyaa Sameed ke result agaya?,N
dada ki tabiyat kaasi h ab,N
sir aap ki lottery nikla h aapna contact number shre kr da,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
Ap ka lucky draw nikla h apna account number da da for transfer.,S
aoa uncle ma apkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
ma hospital ma hu mujha paisu ki zarurat ha,S
mama uncle ku na bhaija ma khud a jao ga,N
sir aap ki lottery nikla h aapna contact number shre kr da,S
ji acha tu apkaa naam ha card par chala otp plz bhaj da,S
mama uncle ku na bhja ma khud a jao ga,N
sir apke total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
ji mam ap kaa order kidr lana h,N
Aoa ma nadra sa baat kr rah hu mujh ap ke id card number ki zarurt h,S
Ap ka lucky draw nikla hai aapna account number da da for transfer.,S
Kyaa Sameed ka result agaya?,N
kia khila ra phir,N
Sameed kesaa haii?,N
ma hospital ma hu mujha paisu ki zarurat ha,S
AJ KAL KAHA HUTA HA,N
deye gaye number par rabta kerke ainaam jete,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
mama uncle ku na bhaja ma khud a jao ga,N
kia chl rah h,N
Kyaa aaap theek hain?,N
kia karna phir aga,N
Hello ma kaasi hu ap,N
deye gaye number par rabta karke ainaam jete,S
ma hospital ma hu mujh paisu ki zarurat h,S
Kyaa aap theek hain?,N
ji achai tu aapka naam hai card par chaila otp plese bhaij da,S
Ap kaa bank account freeze ho gaya,S
meri beti ki tabiyat khrab h please paisa bhj da,S
ji mam aap ke order kidr lana ha,N
ji acha tu apka naam ha card par chala OTP please bhaj da,S
Sameed kesaa haii?,N
AJ KAL KAHA HUTA HA,N
kia kaarna phir aga,N
sir apke total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
Kyaa aap theek hin?,N
meri beti ki tabiyat khrab h plese paisa bhj da,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
ma apka daraz ka packagae kla rahai hu plese location bata da,N
Ap ke bank account freeze ho gaya,S
aapkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
mama uncle ku na bhaja ma khud a jao ga,N
Ainaam jetne kei liye OTP hme bataye,S
mera bank ka masla hua wa aap aapna account number bhj sakta hu plese,S
Aoa ma nadra sa baat kr rah hu mujh aap kaa id card number ki zarurt h,S
aapkaa account haick ho gaya haii sahi kaarni kei liye OTP batayin,S
mera bank kaa masla hua wa aap aapna account number bhaij sakta hu plz,S
maam please apna bank account number da da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
kia chal raha ha,N
AJ KAL KAHA HUTA HA,N
Aaj mosam kesaa hai?,N
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
kia chal raha ha,N
maam plz apna bank account number da da,S
aoa uncle ma aapke cousin bat kr rah hu mujh paisa chhiya,S
Aaj khaianey mai kyaa banaya?,N
Aap kyaa krrhi hin?,N
ji achai tu aapkaa naam hai card par chaila otp plese bhaij da,S
Ap ka lucky draw nikla hai aapna account number da da for transfer.,S
ji mam aap ka order kidr lana ha,N
deye gaye number par rabta karke ainaam jete,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
Kyaa aaap theek hain?,N
ma aapkaa daraz kaa packaagae kla raha hu plz location bata da,N
sir aapkaa total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Ap ka bank account freeze ho gaya,S
Ap ka bank account freeze ho gaya,S
Aaj khaaney mai kyaa banaya?,N
Kyaa Sameed kaa result agaya?,N
hr roz kei 100 ruppe jetne kei liye OTP bataye,S
Kyaa aaap theek haiin?,N
Mam ma aapka bank sa baat kr rah hu please aapna bank number bata da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
ma apke daraz ke packegae kla raha hu plz location bata da,N
Sameed kesaa haii?,N
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
apke account hck ho gaya hi sahi kerni kei liye OTP batayin,S
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
ap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye apna account password dein,S
kia kerna phir aga,N
hn yaar kasa hai,N
ma hospital ma hu mujh paisu ki zarurat h,S
dada ki tabiyat kesi hai ab,N
Mam ma aapka bank sa baat kr rah hu please aapna bank number bata da,S
ma hospital ma hu mujh paisu ki zarurat h,S
sir ap ki lottery nikla ha apna contact number share kr da,S
Aaap kyaa krrhi haiin?,N
Hello ma kasi hu ap,N
Aaj mosam kesaa hai?,N
Aaj mosam kesaa haii?,N
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
kia khila ra phir,N
ma hospital ma hu mujhai paisu ki zarurat hai,S
Hello ma kaasi hu aap,N
Sameed kesaa hi?,N
sir ap ki lottery nikla hai apna contact number shaire kr da,S
Ap kaa lucky draw nikla hai apna account number da da for transfer.,S
Baba kidher hain?,N
apkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
meri beti ki tabiyat kharab ha plese paisa bhaj da,S
sir ap ki lottery nikla ha apna contact number share kr da,S
kia khila ra phir,N
ma hospital ma hu mujh paisu ki zarurat h,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
ji achai tu aapke naam hai card par chaila OTP please bhaij da,S
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
AJ KAL KAHA HUTA HA,N
kia khila ra phir,N
Aaj khaianey mai kyaa banaya?,N
deye gaye number par rabta kaarke ainaam jete,S
Baba kidher hin?,N
kia khila ra phir,N
maam please apna bank account number da da,S
Hello ma kaasi hu ap,N
sir ap ki lottery nikla h apna contact number shre kr da,S
ji ach tu aapkaa naam h card par chla otp please bhj da,S
hn yaar kasa hai,N
Baba kidher haiin?,N
Sameed kesaa hai?,N
maam plz aapna bank account number da da,S
hn yaar kasa ha,N
meri beti ki tabiyat khrab h plese paisa bhj da,S
ji acha tu aapke naam ha card par chala OTP please bhaj da,S
kia kerna phir aga,N
AJ KAL KAHA HUTA HA,N
maam please aapna bank account number da da,S
Aap kyaa krrhi hin?,N
Aaj mosam kesaa haii?,N
mera bank ka masla hua wa aap aapna account number bhj sakta hu plz,S
Aoa ma nadra sa baat kr rahai hu mujhai aap ke id card number ki zarurt hai,S
Ainaam jetne kei liye OTP hme bataye,S
Ap kaa lucky draw nikla hai aapna account number da da for transfer.,S
Aaj mosam kesaa hai?,N
aapkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
ghair wala theek hai,N
mama uncle ku na bhaija ma khud a jao ga,N
kia karna phir aga,N
Aoa ma nadra sa baat kr rah hu mujh ap ka id card number ki zarurt h,S
mama uncle ku na bhja ma khud a jao ga,N
ji mam ap kaa order kidr lana hai,N
AJ KAL KAHA HUTA HA,N
Kyaa aap theek haiin?,N
Aaj mosam kesaa hi?,N
kia khila ra phir,N
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
Aaj mosam kesaa hi?,N
ma aapka daraz ka packagae kla rah hu please location bata da,N
aapke account hack ho gaya hai sahi kerni kei liye OTP batayin,S
sir aap ki lottery nikla h aapna contact number shre kr da,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Ap ka lucky draw nikla ha aapna account number da da for transfer.,S
ma apkaa daraz kaa packaagae kla rah hu please location bata da,N
ji achai tu aapkaa naam hai card par chaila otp plese bhaij da,S
Sameed kesaa hai?,N
Mam ma aapkaa bank sa baat kr rahai hu please aapna bank number bata da,S
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
Hello ma kesi hu ap,N
sir apka total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
kia chl rah h,N
ma aapka daraz ka packagae kla rah hu plz location bata da,N
Kyaa aap theek hin?,N
ma apka daraz ka packagae kla rahai hu please location bata da,N
aoa uncle ma aapke cousin bat kr rahai hu mujhai paisa chaihiya,S
Ainaam jetne kei liye OTP hme bataye,S
sir aapkaa total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
ghair wala theek hai,N
Aoa ma nadra sa baat kr raha hu mujha aap kaa id card number ki zarurt ha,S
Mam ma aapke bank sa baat kr rah hu plz aapna bank number bata da,S
Aaap kyaa krrhi hin?,N
Kyaa Sameed ka result agaya?,N
sir ap ki lottery nikla h apna contact number shre kr da,S
mama uncle ku na bhaja ma khud a jao ga,N
Ap ka lucky draw nikla h aapna account number da da for transfer.,S
deye gaye number par rabta karke ainaam jete,S
dada ki tabiyat kesi ha ab,N
Aap kyaa krrhi hain?,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
apkaa account haick ho gaya haii sahi kaarni kei liye OTP batayin,S
Hello ma kesi hu ap,N
Kyaa Sameed ke result agaya?,N
maam plz aapna bank account number da da,S
kia kaarna phir aga,N
Kyaa aaap theek hin?,N
Aap kyaa krrhi haiin?,N
kia kaarna phir aga,N
ma hospital ma hu mujha paisu ki zarurat ha,S
dada ki tabiyat kesi hai ab,N
ma hospital ma hu mujh paisu ki zarurat h,S
Ainaam jetne kei liye OTP haime bataye,S
Kyaa aaap theek hain?,N
Aoa ma nadra sa baat kr raha hu mujha aap ka id card number ki zarurt ha,S
sir aap ki lottery nikla hai aapna contact number shaire kr da,S
aap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye aapna account password dein,S
Ainaam jetne kei liye OTP hame bataye,S
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
har roz kei 100 ruppe jetne kei liye OTP bataye,S
ma aapkaa daraz kaa packaagae kla raha hu plese location bata da,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
aapka account hack ho gaya hai sahi karni kei liye OTP batayin,S
hn yaar kaasa ha,N
dada ki tabiyat kaasi ha ab,N
Baba kidher haiin?,N
Kyaa aap theek haiin?,N
kia khila ra phir,N
AJ KAL KAHA HUTA HA,N
aoa uncle ma apka cousin bat kr rahai hu mujhai paisa chaihiya,S
Mam ma aapkaa bank sa baat kr raha hu plese aapna bank number bata da,S
mama uncle ku na bhja ma khud a jao ga,N
Ap ke lucky draw nikla h apna account number da da for transfer.,S
Baba kyaa krrhey hin?,N
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
ghar wala theek ha,N
mera bank kaa masla hua wa aap aapna account number bhj sakta hu plz,S
maam please apna bank account number da da,S
sir aap ki lottery nikla ha aapna contact number share kr da,S
ma hospital ma hu mujh paisu ki zarurat h,S
kia khila ra phir,N
Ap kaa bank account freeze ho gaya,S
Aoa ma nadra sa baat kr rah hu mujh aap kaa id card number ki zarurt h,S
ghair wala theek hai,N
ma hospital ma hu mujha paisu ki zarurat ha,S
kia karna phir aga,N
meri beti ki tabiyat khrab h plz paisa bhj da,S
Kyaa aaap theek hin?,N
sir ap ki lottery nikla hai apna contact number shaire kr da,S
ghr wala theek h,N
kia karna phir aga,N
ma hospital ma hu mujh paisu ki zarurat h,S
Sameed kesaa hai?,N
Aaj mosam kesaa hi?,N
Ap ka bank account freeze ho gaya,S
dada ki tabiyat kasi h ab,N
AJ KAL KAHA HUTA HA,N
kia khila ra phir,N
Aap kyaa krrhi haiin?,N
aoa uncle ma aapke cousin bat kr rahai hu mujhai paisa chaihiya,S
dada ki tabiyat kesi h ab,N
aoa uncle ma apka cousin bat kr raha hu mujha paisa chahiya,S
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
Kyaa Sameed ka result agaya?,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
aoa uncle ma aapka cousin bat kr raha hu mujha paisa chahiya,S
AJ KAL KAHA HUTA HA,N
Kyaa aap theek hain?,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
Kyaa Sameed ke result agaya?,N
apke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
aoa uncle ma aapka cousin bat kr raha hu mujha paisa chahiya,S
Ap ka bank account freeze ho gaya,S
Ap ke lucky draw nikla hai aapna account number da da for transfer.,S
meri beti ki tabiyat khairab hai plz paisa bhaij da,S
meri beti ki tabiyat khairab hai please paisa bhaij da,S
ji acha tu aapke naam ha card par chala otp plz bhaj da,S
Baba kidher hin?,N
kia chail rahai hai,N
hr roz kei 100 ruppe jetne kei liye OTP bataye,S
Baba kidher haiin?,N
Ap ke lucky draw nikla h aapna account number da da for transfer.,S
maam plese aapna bank account number da da,S
Sameed kesaa hai?,N
mama uncle ku na bhaija ma khud a jao ga,N
aapkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
Ap ke lucky draw nikla h aapna account number da da for transfer.,S
meri beti ki tabiyat khrab h plz paisa bhj da,S
Hello ma kasi hu ap,N
meri beti ki tabiyat kharab ha plz paisa bhaj da,S
hn yaar kasa h,N
Baba kidher hin?,N
deye gaye number par rabta karke ainaam jete,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
ma hospital ma hu mujha paisu ki zarurat ha,S
Ap ke lucky draw nikla hai aapna account number da da for transfer.,S
sir ap ki lottery nikla ha apna contact number share kr da,S
dada ki tabiyat kasi h ab,N
ma aapke daraz ke packegae kla rahai hu plz location bata da,N
aapkaa account hck ho gaya hi sahi kaarni kei liye OTP batayin,S
Hello ma kaasi hu ap,N
Aaj khaaney mai kyaa banaya?,N
kia chal raha ha,N
Aoa ma nadra sa baat kr rah hu mujh aap ka id card number ki zarurt h,S
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
har roz kei 100 ruppe jetne kei liye OTP bataye,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Baba kyaa krrhey hain?,N
Ap kaa bank account freeze ho gaya,S
Mam ma aapke bank sa baat kr rah hu please aapna bank number bata da,S
aoa uncle ma aapke cousin bat kr rah hu mujh paisa chhiya,S
hn yaar kesa hai,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
deye gaye number par rabta karke ainaam jete,S
ji achai tu apka naam hai card par chaila OTP plese bhaij da,S
Ap kaa bank account freeze ho gaya,S
Ainaam jetne kei liye OTP hame bataye,S
Mam ma aapkaa bank sa baat kr rahai hu plese aapna bank number bata da,S
deye gaye number par rabta kaarke ainaam jete,S
kia karna phir aga,N
AJ KAL KAHA HUTA HA,N
kisi bhi cheez ki kharidari ya bechne kei liye OLX par aj hi jayein,N
Ainaam jetne kei liye OTP hame bataye,S
ma hospital ma hu mujhai paisu ki zarurat hai,S
Aaj khaney mai kyaa banaya?,N
Sameed kesaa haii?,N
apkaa account hack ho gaya hai sahi kaarni kei liye OTP batayin,S
kia chal raha ha,N
Baba kidher haiin?,N
kia khila ra phir,N
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
kia kaarna phir aga,N
mama uncle ku na bhaija ma khud a jao ga,N
Ainaam jetne kei liye OTP hme bataye,S
ma hospital ma hu mujh paisu ki zarurat h,S
